sep=,
org_x,org_y,org_z,hit,hit_x,hit_y,hit_z
9.6,-9.8,1,1,9.6,-9.8,-0.716664
9.8,-9.8,1,1,9.8,-9.8,-0.736352
-10,-9.6,1,1,-10,-9.6,-1.60463
-9.8,-9.6,1,1,-9.8,-9.6,-1.50639
-9.6,-9.6,1,1,-9.6,-9.6,-1.22392
-9.4,-9.6,1,1,-9.4,-9.6,-0.941449
-9.2,-9.6,1,1,-9.2,-9.6,-0.658979
-9,-9.6,1,1,-9,-9.6,-0.597387
-8.8,-9.6,1,1,-8.8,-9.6,-0.597387
-8.6,-9.6,1,1,-8.6,-9.6,-0.597387
-8.4,-9.6,1,1,-8.4,-9.6,-0.597387
-8.2,-9.6,1,1,-8.2,-9.6,-0.753371
-8,-9.6,1,1,-8,-9.6,-1.03584
-7.8,-9.6,1,1,-7.8,-9.6,-1.31831
-7.6,-9.6,1,1,-7.6,-9.6,-1.60078
-7.4,-9.6,1,1,-7.4,-9.6,-1.88325
-7.2,-9.6,1,1,-7.2,-9.6,-2.16572
-7,-9.6,1,1,-7,-9.6,-2.44819
-6.8,-9.6,1,1,-6.8,-9.6,-2.46086
-6.6,-9.6,1,1,-6.6,-9.6,-2.46086
-6.4,-9.6,1,1,-6.4,-9.6,-2.34195
-6.2,-9.6,1,1,-6.2,-9.6,-2.05948
-6,-9.6,1,1,-6,-9.6,-1.77701
-5.8,-9.6,1,1,-5.8,-9.6,-1.49454
-5.6,-9.6,1,1,-5.6,-9.6,-1.21207
-5.4,-9.6,1,1,-5.4,-9.6,-0.929598
-5.2,-9.6,1,1,-5.2,-9.6,-0.671448
-5,-9.6,1,1,-5,-9.6,-0.671448
-4.8,-9.6,1,1,-4.8,-9.6,-0.671448
-4.6,-9.6,1,1,-4.6,-9.6,-0.671448
-4.4,-9.6,1,1,-4.4,-9.6,-0.671448
-4.2,-9.6,1,1,-4.2,-9.6,-0.765224
-4,-9.6,1,1,-4,-9.6,-0.775882
-3.8,-9.6,1,1,-3.8,-9.6,-0.664525
-3.6,-9.6,1,1,-3.6,-9.6,-0.664525
-3.4,-9.6,1,1,-3.4,-9.6,-0.486216
-3.2,-9.6,1,1,-3.2,-9.6,-0.486216
-3,-9.6,1,1,-3,-9.6,-0.486216
-2.8,-9.6,1,1,-2.8,-9.6,-0.486216
-2.6,-9.6,1,1,-2.6,-9.6,-0.726764
-2.4,-9.6,1,1,-2.4,-9.6,-1.00923
-2.2,-9.6,1,1,-2.2,-9.6,-1.04608
-2,-9.6,1,1,-2,-9.6,-1.04608
-1.8,-9.6,1,1,-1.8,-9.6,-1.04608
-1.6,-9.6,1,1,-1.6,-9.6,-1.04608
-1.4,-9.6,1,1,-1.4,-9.6,-1.04608
-1.2,-9.6,1,1,-1.2,-9.6,-1.11302
-1,-9.6,1,1,-1,-9.6,-0.881786
-0.8,-9.6,1,1,-0.8,-9.6,-0.599316
-0.6,-9.6,1,1,-0.6,-9.6,-0.316846
-0.4,-9.6,1,1,-0.4,-9.6,-0.0343754
-0.2,-9.6,1,1,-0.2,-9.6,-0.248095
0,-9.6,1,1,0,-9.6,-0.530565
0.2,-9.6,1,1,0.2,-9.6,-0.813035
0.4,-9.6,1,1,0.4,-9.6,-1.03066
0.6,-9.6,1,1,0.6,-9.6,-1.03066
0.8,-9.6,1,1,0.8,-9.6,-0.789166
1,-9.6,1,1,1,-9.6,-0.506696
1.2,-9.6,1,1,1.2,-9.6,-0.224226
1.4,-9.6,1,1,1.4,-9.6,-0.151456
1.6,-9.6,1,1,1.6,-9.6,-0.166056
1.8,-9.6,1,1,1.8,-9.6,-0.448526
2,-9.6,1,1,2,-9.6,-0.691056
2.2,-9.6,1,1,2.2,-9.6,-0.973526
2.4,-9.6,1,1,2.4,-9.6,-1.256
2.6,-9.6,1,1,2.6,-9.6,-1.53847
2.8,-9.6,1,1,2.8,-9.6,-1.82094
3,-9.6,1,1,3,-9.6,-2.10341
3.2,-9.6,1,1,3.2,-9.6,-2.13457
3.4,-9.6,1,1,3.4,-9.6,-1.8521
3.6,-9.6,1,1,3.6,-9.6,-1.56963
3.8,-9.6,1,1,3.8,-9.6,-1.28716
4,-9.6,1,1,4,-9.6,-1.00469
4.2,-9.6,1,1,4.2,-9.6,-0.722223
4.4,-9.6,1,1,4.4,-9.6,-0.439752
4.6,-9.6,1,1,4.6,-9.6,-0.374706
4.8,-9.6,1,1,4.8,-9.6,-0.374706
5,-9.6,1,1,5,-9.6,-0.407658
5.2,-9.6,1,1,5.2,-9.6,-0.690128
5.4,-9.6,1,1,5.4,-9.6,-0.844576
5.6,-9.6,1,1,5.6,-9.6,-0.844576
5.8,-9.6,1,1,5.8,-9.6,-0.844576
6,-9.6,1,1,6,-9.6,-0.90489
6.2,-9.6,1,1,6.2,-9.6,-1.18736
6.4,-9.6,1,1,6.4,-9.6,-1.46983
6.6,-9.6,1,1,6.6,-9.6,-1.68406
6.8,-9.6,1,1,6.8,-9.6,-1.40159
7,-9.6,1,1,7,-9.6,-1.11912
7.2,-9.6,1,1,7.2,-9.6,-0.836646
7.4,-9.6,1,1,7.4,-9.6,-0.733152
7.6,-9.6,1,1,7.6,-9.6,-0.733152
7.8,-9.6,1,1,7.8,-9.6,-0.733152
8,-9.6,1,1,8,-9.6,-0.733152
8.2,-9.6,1,1,8.2,-9.6,-0.733152
8.4,-9.6,1,1,8.4,-9.6,-0.858174
8.6,-9.6,1,1,8.6,-9.6,-0.695687
8.8,-9.6,1,1,8.8,-9.6,-0.413217
9,-9.6,1,1,9,-9.6,-0.130747
9.2,-9.6,1,1,9.2,-9.6,-0.151723
9.4,-9.6,1,1,9.4,-9.6,-0.434193
9.6,-9.6,1,1,9.6,-9.6,-0.453882
9.8,-9.6,1,1,9.8,-9.6,-0.709112
-10,-9.4,1,1,-10,-9.4,-1.32216
-9.8,-9.4,1,1,-9.8,-9.4,-1.32216
-9.6,-9.4,1,1,-9.6,-9.4,-1.22392
-9.4,-9.4,1,1,-9.4,-9.4,-0.941449
-9.2,-9.4,1,1,-9.2,-9.4,-0.658979
-9,-9.4,1,1,-9,-9.4,-0.376509
-8.8,-9.4,1,1,-8.8,-9.4,-0.314916
-8.6,-9.4,1,1,-8.6,-9.4,-0.314916
-8.4,-9.4,1,1,-8.4,-9.4,-0.470902
-8.2,-9.4,1,1,-8.2,-9.4,-0.753371
-8,-9.4,1,1,-8,-9.4,-1.03584
-7.8,-9.4,1,1,-7.8,-9.4,-1.31831
-7.6,-9.4,1,1,-7.6,-9.4,-1.60078
-7.4,-9.4,1,1,-7.4,-9.4,-1.88325
-7.2,-9.4,1,1,-7.2,-9.4,-2.16572
-7,-9.4,1,1,-7,-9.4,-2.44819
-6.8,-9.4,1,1,-6.8,-9.4,-2.39418
-6.6,-9.4,1,1,-6.6,-9.4,-2.17839
-6.4,-9.4,1,1,-6.4,-9.4,-2.17839
-6.2,-9.4,1,1,-6.2,-9.4,-2.05948
-6,-9.4,1,1,-6,-9.4,-1.77701
-5.8,-9.4,1,1,-5.8,-9.4,-1.49454
-5.6,-9.4,1,1,-5.6,-9.4,-1.21207
-5.4,-9.4,1,1,-5.4,-9.4,-0.929598
-5.2,-9.4,1,1,-5.2,-9.4,-0.647127
-5,-9.4,1,1,-5,-9.4,-0.388976
-4.8,-9.4,1,1,-4.8,-9.4,-0.388976
-4.6,-9.4,1,1,-4.6,-9.4,-0.388976
-4.4,-9.4,1,1,-4.4,-9.4,-0.482753
-4.2,-9.4,1,1,-4.2,-9.4,-0.765224
-4,-9.4,1,1,-4,-9.4,-0.775882
-3.8,-9.4,1,1,-3.8,-9.4,-0.493412
-3.6,-9.4,1,1,-3.6,-9.4,-0.382053
-3.4,-9.4,1,1,-3.4,-9.4,-0.382053
-3.2,-9.4,1,1,-3.2,-9.4,-0.382053
-3,-9.4,1,1,-3,-9.4,-0.636469
-2.8,-9.4,1,1,-2.8,-9.4,-0.768687
-2.6,-9.4,1,1,-2.6,-9.4,-0.768687
-2.4,-9.4,1,1,-2.4,-9.4,-0.763613
-2.2,-9.4,1,1,-2.2,-9.4,-0.763613
-2,-9.4,1,1,-2,-9.4,-0.763613
-1.8,-9.4,1,1,-1.8,-9.4,-0.763613
-1.6,-9.4,1,1,-1.6,-9.4,-0.763613
-1.4,-9.4,1,1,-1.4,-9.4,-0.830555
-1.2,-9.4,1,1,-1.2,-9.4,-1.01022
-1,-9.4,1,1,-1,-9.4,-0.881786
-0.8,-9.4,1,1,-0.8,-9.4,-0.599316
-0.6,-9.4,1,1,-0.6,-9.4,-0.316846
-0.4,-9.4,1,1,-0.4,-9.4,-0.287452
-0.2,-9.4,1,1,-0.2,-9.4,-0.287452
0,-9.4,1,1,0,-9.4,-0.530565
0.2,-9.4,1,1,0.2,-9.4,-0.748186
0.4,-9.4,1,1,0.4,-9.4,-0.748186
0.6,-9.4,1,1,0.6,-9.4,-0.748186
0.8,-9.4,1,1,0.8,-9.4,-0.748186
1,-9.4,1,1,1,-9.4,-0.506696
1.2,-9.4,1,1,1.2,-9.4,-0.224226
1.4,-9.4,1,1,1.4,-9.4,-0.116235
1.6,-9.4,1,1,1.6,-9.4,-0.166056
1.8,-9.4,1,1,1.8,-9.4,-0.448526
2,-9.4,1,1,2,-9.4,-0.730996
2.2,-9.4,1,1,2.2,-9.4,-0.973526
2.4,-9.4,1,1,2.4,-9.4,-1.256
2.6,-9.4,1,1,2.6,-9.4,-1.53847
2.8,-9.4,1,1,2.8,-9.4,-1.82094
3,-9.4,1,1,3,-9.4,-2.10341
3.2,-9.4,1,1,3.2,-9.4,-2.13457
3.4,-9.4,1,1,3.4,-9.4,-1.8521
3.6,-9.4,1,1,3.6,-9.4,-1.56963
3.8,-9.4,1,1,3.8,-9.4,-1.28716
4,-9.4,1,1,4,-9.4,-1.00469
4.2,-9.4,1,1,4.2,-9.4,-0.722223
4.4,-9.4,1,1,4.4,-9.4,-0.657177
4.6,-9.4,1,1,4.6,-9.4,-0.657177
4.8,-9.4,1,1,4.8,-9.4,-0.657177
5,-9.4,1,1,5,-9.4,-0.562104
5.2,-9.4,1,1,5.2,-9.4,-0.562104
5.4,-9.4,1,1,5.4,-9.4,-0.562104
5.6,-9.4,1,1,5.6,-9.4,-0.562104
5.8,-9.4,1,1,5.8,-9.4,-0.62242
6,-9.4,1,1,6,-9.4,-0.90489
6.2,-9.4,1,1,6.2,-9.4,-1.18736
6.4,-9.4,1,1,6.4,-9.4,-1.46983
6.6,-9.4,1,1,6.6,-9.4,-1.68406
6.8,-9.4,1,1,6.8,-9.4,-1.40159
7,-9.4,1,1,7,-9.4,-1.11912
7.2,-9.4,1,1,7.2,-9.4,-0.836646
7.4,-9.4,1,1,7.4,-9.4,-0.554176
7.6,-9.4,1,1,7.6,-9.4,-0.45068
7.8,-9.4,1,1,7.8,-9.4,-0.45068
8,-9.4,1,1,8,-9.4,-0.45068
8.2,-9.4,1,1,8.2,-9.4,-0.575704
8.4,-9.4,1,1,8.4,-9.4,-0.62493
8.6,-9.4,1,1,8.6,-9.4,-0.632532
8.8,-9.4,1,1,8.8,-9.4,-0.413217
9,-9.4,1,1,9,-9.4,-0.315188
9.2,-9.4,1,1,9.2,-9.4,-0.171411
9.4,-9.4,1,1,9.4,-9.4,-0.171411
9.6,-9.4,1,1,9.6,-9.4,-0.426642
9.8,-9.4,1,1,9.8,-9.4,-0.709112
-10,-9.2,1,1,-10,-9.2,-1.03969
-9.8,-9.2,1,1,-9.8,-9.2,-1.03969
-9.6,-9.2,1,1,-9.6,-9.2,-1.03969
-9.4,-9.2,1,1,-9.4,-9.2,-0.941449
-9.2,-9.2,1,1,-9.2,-9.2,-0.658979
-9,-9.2,1,1,-9,-9.2,-0.376509
-8.8,-9.2,1,1,-8.8,-9.2,-0.0940394
-8.6,-9.2,1,1,-8.6,-9.2,-0.18843
